id,period,timestamp,minute,second,possession,duration,match_id,play_pattern_id,play_pattern_name,team_name,player_id,player_name,position_id,position_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,ps,x,y,outcome_name,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,end_z,shot_key_pass_id
95f89dc1-bbca-4317-8fe3-4dca371f6f62,1,32:52.7,32,52,56,0.162555,3857266,1,Regular Play,France,10481,Aurélien Djani Tchouaméni,9,Right Defensive Midfield,101.3,39.3,40,Right Foot,87,Open Play,FALSE,99.7,39.1,notgoal,0.054124165,93,Normal,TRUE,,fe92a1c6-4632-40ac-9e7c-b0d6709845e6
a1ff7e87-5912-46cd-a061-04381a5c689d,1,32:55.8,32,55,56,0.122701,3857266,6,From Counter,France,5477,Ousmane Dembélé,17,Right Wing,108.8,47.6,38,Left Foot,87,Open Play,FALSE,108.2,48,notgoal,0.046849832,95,Volley,,,437ece4b-1513-422a-a02c-b2e34c965cc7
aad5ee91-50fa-435f-83f8-c55f0ba94485,1,33:36.5,33,36,56,0.088779,3857266,1,Regular Play,France,3026,Adrien Rabiot,11,Left Defensive Midfield,102.4,26.2,38,Left Foot,87,Open Play,FALSE,100.1,24.5,notgoal,0.02230111,93,Normal,,,
5b926bb9-2409-4a99-85d2-76781e869280,1,35:17.9,35,17,59,0.681133,3857266,6,From Counter,Denmark,5732,Andreas Evald Cornelius,23,Center Forward,120,45.4,40,Right Foot,87,Open Play,FALSE,107.4,55.8,notgoal,0.048269883,93,Normal,TRUE,1.3,a77e3f41-1106-4edf-beee-47e3a2b9be84
1661ce1b-436d-490d-ba76-8248c3949333,1,36:33.9,36,33,60,0.819076,3857266,7,From Goal Kick,France,3604,Olivier Giroud,23,Center Forward,120,46.1,37,Head,87,Open Play,FALSE,108.6,45.2,notgoal,0.045027424,93,Normal,,0.8,e7c5805b-8ecf-41c0-a3bf-f39214ac58f6
310ee968-a5e3-4dbf-995e-de9fe226fd41,1,39:34.0,39,33,65,0.765156,3857266,1,Regular Play,France,3009,Kylian Mbappé Lottin,21,Left Wing,120,40,40,Right Foot,87,Open Play,FALSE,106,43.8,notgoal,0.18605462,93,Normal,TRUE,5,9c5ec54d-9eb3-42f9-ada0-396f57976be8
2fa4a98b-aec3-418e-a0f8-004e13b71538,1,44:43.2,44,43,73,1.0948,3857266,1,Regular Play,Denmark,3043,Christian Dannemann Eriksen,11,Left Defensive Midfield,120,32.1,40,Right Foot,87,Open Play,FALSE,83,42.5,notgoal,0.006951803,93,Normal,,0.4,
ea6b2762-aa7e-4d03-9778-022de21c8935,1,47:25.4,47,25,78,0.627831,3857266,4,From Throw In,France,3009,Kylian Mbappé Lottin,21,Left Wing,109.8,32.8,40,Right Foot,87,Open Play,FALSE,98.6,18.5,notgoal,0.011081066,93,Normal,,,44ce5ed1-aef4-4b30-8676-8df1459b1c8d
3ad50410-98e0-43fd-bfb0-a08ca4a3e9e1,2,10:59.7,55,59,100,0.67028,3857266,1,Regular Play,France,3009,Kylian Mbappé Lottin,21,Left Wing,117.8,36.7,38,Left Foot,87,Open Play,FALSE,104.1,30.1,notgoal,0.03630777,93,Normal,,2.1,
c071b9b5-3c71-4481-9ca4-02196def8455,2,14:02.6,59,2,104,0.472999,3857266,4,From Throw In,France,5487,Antoine Griezmann,19,Center Attacking Midfield,120,38.1,38,Left Foot,87,Open Play,FALSE,102.6,38.8,notgoal,0.21733604,91,Half Volley,,5.8,a7cc98fb-0688-4612-93f2-90f49e9303f0
935912ab-8e92-422a-a070-e7ad13db20dd,2,15:25.0,60,25,106,0.182086,3857266,1,Regular Play,France,3009,Kylian Mbappé Lottin,21,Left Wing,120,40.1,40,Right Foot,87,Open Play,FALSE,110.8,31.3,goal,0.08505598,91,Half Volley,TRUE,0.8,0caf38c8-04c5-4a6a-8dc2-3a1360846301
2c65e5d9-6a2b-45b1-aad7-c31705f81705,2,22:14.7,67,14,119,0.304208,3857266,2,From Corner,Denmark,8247,Joachim Andersen,3,Right Center Back,114.1,36.9,37,Head,87,Open Play,FALSE,112.2,43.9,notgoal,0.082872435,93,Normal,,,9b643fe8-230a-406c-aea0-1f7d16136529
252d8514-8e16-4b98-8780-262352e7442e,2,22:15.3,67,15,119,0.406608,3857266,2,From Corner,Denmark,3959,Andreas Christensen,4,Center Back,120,38.6,37,Head,87,Open Play,FALSE,113,37.6,goal,0.25384808,93,Normal,,1.7,
12475ee1-e398-4785-9eef-c4e60f8a0dde,2,27:21.1,72,21,126,0.451006,3857266,8,From Keeper,Denmark,27569,Jesper Lindstrøm,17,Right Wing,117.9,38.3,40,Right Foot,87,Open Play,FALSE,107.4,33,notgoal,0.18929456,93,Normal,TRUE,1.3,c83d8efe-f707-4a66-ac7d-9486e4edf0a7
c6c9bccc-2b78-4609-be40-201367d1eac4,2,28:18.2,73,18,127,0.23829,3857266,2,From Corner,Denmark,3043,Christian Dannemann Eriksen,11,Left Defensive Midfield,98.3,44.5,38,Left Foot,87,Open Play,FALSE,93.3,45.1,notgoal,0.0264413,93,Normal,,,
61081ad1-ec78-4a49-a13f-157dbd7afd78,2,32:38.3,77,38,133,0.265374,3857266,2,From Corner,France,10481,Aurélien Djani Tchouaméni,9,Right Defensive Midfield,115.2,37.8,37,Head,87,Open Play,FALSE,113.7,37.7,notgoal,0.22405402,90,Diving Header,,,bdb97b95-682e-4459-a65c-beb7a62942a7
b8cfcb88-86d7-4515-9431-fc28a7e30db8,2,33:21.2,78,21,134,1.080923,3857266,2,From Corner,France,4445,Jules Koundé,2,Right Back,120,46.6,37,Head,87,Open Play,FALSE,110.7,40.7,notgoal,0.106879756,93,Normal,,0.9,b43bed5a-5a94-4726-b097-85d00808ee74
a95f3fc8-cc30-487c-b3a5-2556a3f76f82,2,34:03.0,79,3,135,0.519911,3857266,2,From Corner,France,3026,Adrien Rabiot,11,Left Defensive Midfield,120,43.6,38,Left Foot,87,Open Play,FALSE,112.7,47.3,notgoal,0.080693014,94,Overhead Kick,TRUE,4.7,5f2a968d-b3f0-4cd4-9d0b-a4400e5f9da3
2ed3067d-087f-48a5-880d-946d0e595fe6,2,35:16.5,80,16,137,0.618144,3857266,4,From Throw In,Denmark,4447,Martin Braithwaite Christensen,23,Center Forward,120,44,40,Right Foot,87,Open Play,FALSE,110,45.1,notgoal,0.23786028,93,Normal,TRUE,1.3,e9f78958-a2a7-4528-99e6-ba7cf9123241
60e60f5e-be8d-4476-8f8c-5a2401b9e786,2,38:58.3,83,58,143,0.916312,3857266,1,Regular Play,Denmark,3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,120,32.6,40,Right Foot,87,Open Play,FALSE,87.2,48.7,notgoal,0.015153575,93,Normal,TRUE,0.2,52387c01-1286-44cd-849a-c428f4984c7c
eae706a8-6538-43d9-b22f-432563235daa,2,40:10.0,85,9,144,0.539016,3857266,7,From Goal Kick,France,3009,Kylian Mbappé Lottin,21,Left Wing,120,37.3,70,Other,87,Open Play,FALSE,117.8,36.5,goal,0.38353118,93,Normal,TRUE,1.3,3d7a3e6f-f49f-4e1e-8103-4f2eb9915fb8
e27388d1-884c-4db8-ba77-781b8f539015,2,43:18.8,88,18,146,0.105904,3857266,4,From Throw In,Denmark,8247,Joachim Andersen,3,Right Center Back,95.7,52.6,38,Left Foot,87,Open Play,FALSE,94.3,53.4,notgoal,0.014218964,93,Normal,,,311a75ba-743e-4970-a897-687d1086903a
2e328710-b17d-4c08-8706-fc2e43a0206e,2,45:18.7,90,18,147,0.955955,3857266,1,Regular Play,France,3009,Kylian Mbappé Lottin,21,Left Wing,117.7,37.1,40,Right Foot,87,Open Play,FALSE,99.4,25.5,notgoal,0.033781487,91,Half Volley,TRUE,0.6,c8cba2db-186a-43f8-aff9-6bca14e5ca15
a6821c2e-255a-4b66-81d9-f852c291ea16,2,51:37.4,96,37,160,0.946603,3857266,4,From Throw In,Denmark,16554,Joakim Mæhle,8,Left Wing Back,120,40.2,40,Right Foot,87,Open Play,FALSE,87.5,42.4,notgoal,0.013632962,91,Half Volley,TRUE,5.4,
