match_id,match_date,home_score,away_score,match_week,home_team_id,home_team_name,home_team_group,home_team_managers_name,away_team_id,away_team_name,away_team_group,away_team_managers_name,competition_stage_name,stadium_name,referee_name,referee_country_name
3857291,2022-11-23,7,0,1,772,Spain,E,Luis Enrique Martínez García,795,Costa Rica,E,Luis Fernando Suárez Guzman,Group Stage,Al Thumama Stadium,,
3857290,2022-11-24,1,0,1,773,Switzerland,G,Murat Yakin,2722,Cameroon,G,Rigobert Song Bahanag,Group Stage,Al Janoub Stadium   ,Facundo Tello Figueroa,Argentina
3857285,2022-11-21,0,2,1,787,Senegal,A,Aliou Cissé,941,Netherlands,A,Louis van Gaal,Group Stage,Al Thumama Stadium,Wilton Pereira Sampaio,Brazil
3857281,2022-11-27,4,1,2,785,Croatia,F,Zlatko Dalić,1833,Canada,F,John Herdman,Group Stage,Sheikh Khalifa International Stadium,Andrés Matonte,Uruguay
3857280,2022-12-02,1,0,3,2722,Cameroon,G,Rigobert Song Bahanag,781,Brazil,G,Adenor Leonardo Bacchi,Group Stage,Lusail Stadium,Ismail Elfath,United States of America
3857279,2022-11-22,4,1,1,771,France,D,Didier Deschamps,792,Australia,D,Graham James Arnold,Group Stage,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes,South Africa
3857278,2022-11-29,0,1,3,797,Iran,B,Carlos Manuel Brito Leal Queiróz,1839,United States,B,Gregg Berhalter,Group Stage,Al Thumama Stadium,Antonio Miguel Mateu Lahoz,Spain
3857277,2022-11-23,0,0,1,788,Morocco,F,Walid Regragui,785,Croatia,F,Zlatko Dalić,Group Stage,Al Bayt Stadium,Fernando Andrés Rapallini,Argentina
3857276,2022-12-01,1,2,3,1833,Canada,F,John Herdman,788,Morocco,F,Walid Regragui,Group Stage,Al Thumama Stadium,Raphael Claus,Brazil
3857275,2022-11-30,1,0,3,777,Tunisia,D,Jalel Kadri,771,France,D,Didier Deschamps,Group Stage,Education City Stadium ,Matthew Conger,New Zealand
3857274,2022-11-25,1,1,2,941,Netherlands,A,Louis van Gaal,3565,Ecuador,A,Gustavo Julio Alfaro,Group Stage,Sheikh Khalifa International Stadium,Mustapha Ghorbal,Algeria
3857273,2022-11-25,0,2,2,907,Wales,B,Robert Page,797,Iran,B,Carlos Manuel Brito Leal Queiróz,Group Stage,Ahmad bin Ali Stadium,Mario Alberto Escobar Toca,Guatemala
3857272,2022-11-25,0,0,2,768,England,B,Gareth Southgate,1839,United States,B,Gregg Berhalter,Group Stage,Al Bayt Stadium,Jesús Valenzuela Sáez,Venezuela (Bolivarian Republic)
3857271,2022-11-21,6,2,1,768,England,B,Gareth Southgate,797,Iran,B,Carlos Manuel Brito Leal Queiróz,Group Stage,Sheikh Khalifa International Stadium,Raphael Claus,Brazil
3857268,2022-11-23,1,0,1,782,Belgium,F,Roberto Martínez Montoliú,1833,Canada,F,John Herdman,Group Stage,Ahmad bin Ali Stadium,Janny Sikazwe,Zambia
3857265,2022-11-22,0,0,1,794,Mexico,C,Gerardo Daniel Martino,789,Poland,C,Czesław Michniewicz,Group Stage,Stadium 974,Chris Beath,Australia
3857262,2022-12-02,2,1,3,791,South Korea,H,Paulo Jorge Gomes Bento,780,Portugal,H,Fernando Manuel Fernandes da Costa Santos,Group Stage,Education City Stadium ,Facundo Tello Figueroa,Argentina
3857261,2022-11-29,0,3,3,907,Wales,B,Robert Page,768,England,B,Gareth Southgate,Group Stage,Ahmad bin Ali Stadium,Slavko Vinčić,Slovenia
3857255,2022-12-01,2,1,3,778,Japan,E,Hajime Moriyasu,772,Spain,E,Luis Enrique Martínez García,Group Stage,Sheikh Khalifa International Stadium,Victor Miguel de Freitas Gomes,South Africa
3857254,2022-11-22,0,0,1,776,Denmark,D,Kasper Hjulmand,777,Tunisia,D,Jalel Kadri,Group Stage,Education City Stadium ,César Arturo Ramos Palazuelos,Mexico
